minute,load_kw
987,581.75338788
988,580.75979616
989,584.89978788
990,587.79778788
991,591.9377796
992,597.0713630399999
993,598.06495476
994,596.5745630399999
995,597.8165547599999
996,597.8165547599999
997,597.8165547599999
998,597.8165547599999
999,598.06495476
1000,598.06495476
1001,595.8293713200001
1002,590.44738788
1003,585.06540444
1004,583.16099616
1005,579.0210044399998
1006,577.11659616
1007,578.35858788
1008,577.3649961599999
1009,577.3649961599999
1010,576.1230044399999
1011,576.1230044399999
1012,574.88101272
1013,577.11659616
1014,576.1230044399999
1015,576.1230044399999
1016,576.1230044399999
1017,576.1230044399999
1018,575.1294127199999
1019,575.12941272
1020,582.99581016
1021,589.62021588
1022,597.4866133200001
1023,609.4930190400003
1024,623.7350082000002
1025,636.9829916400001
1026,648.9889833600002
1027,662.2369668000003
1028,684.3445254000002
1029,704.2165005600002
1030,717.4644840000003
1031,737.5848591600003
1032,756.4632426000002
1033,761.8452426000001
1034,772.8576426000002
1035,786.1056260400003
1036,800.3472012000003
1037,826.5947680800002
1038,858.4727349600001
1039,887.2042852800001
1040,910.4710770000002
1041,919.9930852800002
1042,919.9930852800002
1043,911.1335101200002
1044,908.8979266800003
1045,914.6111018400003
1046,927.4450687200002
1047,937.7950521600002
1048,955.7626024800002
1049,963.6285859200003
1050,967.7685776400003
1051,978.5325610800003
1052,992.4429445200003
1053,999.7293528000002
1054,1004.8629362400003
1055,1001.38534452
1056,997.9077528000001
1057,984.4113693600002
1058,967.0233776400003
1059,951.2913942000001
1060,941.9350024800002
1061,919.3306273200002
1062,911.4646273200002
1063,909.9742190400002
1064,909.97421904
1065,911.2162107600001
1066,918.0886024800002
1067,916.8466107600001
1068,923.4706024800001
1069,922.2286107600003
1070,914.3626273200001
1071,908.7322273200003
1072,916.5982107600003
1073,915.3562190400004
1074,923.2222024800003
1075,936.4701859200002
1076,952.2021693600003
1077,954.6861693600001
1078,956.4249776400004
1079,951.0429942000003
1080,936.5538470400003
1081,914.9439081600005
1082,894.4931610000003
1083,877.2715890000005
1084,865.5148170000006
1085,858.4768004400005
1086,853.2603921600005
1087,855.4131673200005
1088,854.6679590400006
1089,859.5531093600006
1090,872.8010845200006
1091,890.1062348400006
1092,897.8066100000008
1093,894.1633934400006
1094,887.7050017200006
1095,879.4249686000006
1096,869.6545437600007
1097,853.5913272000007
1098,851.6868775200006
1099,834.1332609600006
1100,814.7580609600006
1101,795.1344444000006
1102,781.8864278400006
1103,768.0588112800007
1104,766.8167616000006
1105,768.8866953600005
1106,770.9566705200006
1107,772.0330539600006
1108,795.7965960000005
1109,821.2161463200006
1110,850.7757049200005
1111,873.2144552400005
1112,905.5063641600005
1113,897.4747724400006
1114,888.2011972800004
1115,858.9728469600004
1116,835.5404966400005
1117,808.3821628800005
1118,797.1213960000005
1119,791.2426208400004
1120,800.0194208400005
1121,807.7198291200004
1122,813.7642291200003
1123,820.9678208400004
1124,820.2226042800005
1125,817.8213960000004
1126,823.1205628800004
1127,833.5533297600005
1128,850.6928883600003
1129,866.5076635200003
1130,882.4880469600005
1131,892.8380221200005
1132,899.5447890000003
1133,913.7035393200003
1134,926.7030813600004
1135,949.4730068400006
1136,985.0769323200004
1137,1017.4516909200005
1138,1040.3872495200005
1139,1072.7619998400003
1140,1093.3791667200005
1141,1088.7423584400005
1142,1091.2263253200003
1143,1086.0099087600006
1144,1070.0295004800005
1145,1051.0682756400006
1146,1045.2722342400007
1147,1032.0242011200005
1148,1012.6489845600005
1149,995.7577762800005
1150,984.0829762800006
1151,971.2489845600005
1152,958.2493845600005
1153,946.4089928400006
1154,941.9377762800007
1155,942.8485597200006
1156,945.0841431600005
1157,939.5365597200005
1158,945.8293597200005
1159,942.2689845600005
1160,927.6962176800005
1161,908.5694590800006
1162,890.1879170400005
1163,876.4431584400005
1164,871.3095832800005
1165,875.6151832800006
1166,883.1499750000005
1167,898.2195087600005
1168,912.0470508000004
1169,926.7025928400005
1170,945.0841431600005
1171,960.8988769200005
1172,976.7136272400005
1173,993.5219858400005
1174,1016.4575361600004
1175,1038.2338947600006
